"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"1",1,30000,0.3,0.01,-1,0.947194719471947,-0.00175306771794121,-0.0329117883460712,-0.94421641830411,"EB"
"2",2,30000,0.3,0.01,-1,0.946488294314381,-0.00159320363546965,-0.0320869797327175,-0.953818908405351,"EB"
"3",3,30000,0.3,0.01,-1,0.957841483979764,-0.00165424900318258,-0.0329284663520961,-0.956682776416081,"EB"
"4",4,30000,0.3,0.01,-1,0.946540880503145,-0.00179259270738335,-0.0343711081522128,-0.957760122022512,"EB"
"5",5,30000,0.3,0.01,-1,0.929159802306425,-0.00166335628677857,-0.0312397047582499,-0.93215832802335,"EB"
"6",6,30000,0.3,0.01,-1,0.950657894736842,-0.00211523132617107,-0.0380683173973719,-0.96508486076978,"EB"
"7",7,30000,0.3,0.01,-1,0.942244224422442,-0.00179146739165763,-0.0334390093063241,-0.946452358654037,"EB"
"8",8,30000,0.3,0.01,-1,0.936995153473344,-0.00192613714787501,-0.035456877377689,-0.955840837738873,"EB"
"9",9,30000,0.3,0.01,-1,0.938566552901024,-0.00188916930624945,-0.035002528291588,-0.954543885649384,"EB"
"10",10,30000,0.3,0.01,-1,0.924268502581756,-0.00170904497004927,-0.032903971346915,-0.949658705339032,"EB"
"11",11,30000,0.3,0.01,-1,0.944012441679627,-0.00173172498545446,-0.033558559541692,-0.955104521089581,"EB"
"12",12,30000,0.3,0.01,-1,0.913333333333333,-0.00182612077309483,-0.0342438059781248,-0.952511896879158,"EB"
"13",13,30000,0.3,0.01,-1,0.956386292834891,-0.00184426272654199,-0.0349156262247374,-0.958352617788117,"EB"
"14",14,30000,0.3,0.01,-1,0.936666666666667,-0.0017005706545077,-0.0323701779478057,-0.943594190044686,"EB"
"15",15,30000,0.3,0.01,-1,0.953410981697171,-0.00186059615369112,-0.0347030376998992,-0.954147094190996,"EB"
"16",16,30000,0.3,0.01,-1,0.953376205787781,-0.00192829710589242,-0.0361292361242839,-0.962883744578011,"EB"
"17",17,30000,0.3,0.01,-1,0.944954128440367,-0.0017153484632068,-0.0337851631661641,-0.959641586145457,"EB"
"18",18,30000,0.3,0.01,-1,0.954619124797407,-0.00190423499159248,-0.0352799660485503,-0.956128092851665,"EB"
"19",19,30000,0.3,0.01,-1,0.946037099494098,-0.00190182175273301,-0.0348782691700729,-0.951698903911453,"EB"
"20",20,30000,0.3,0.01,-1,0.940099833610649,-0.00172951610075147,-0.0330240760297319,-0.948670027155946,"EB"
"21",21,30000,0.3,0.01,-1,0.927731092436975,-0.00186700460942432,-0.0348135420936919,-0.954741950353055,"EB"
"22",22,30000,0.3,0.01,-1,0.94299674267101,-0.00181580409773674,-0.0347968887106277,-0.960045566266176,"EB"
"23",23,30000,0.3,0.01,-1,0.943986820428336,-0.0018633440514397,-0.0343085236556748,-0.949052573077435,"EB"
"24",24,30000,0.3,0.01,-1,0.932069510268562,-0.00176306812286884,-0.0331325634471668,-0.945918187262615,"EB"
"25",25,30000,0.3,0.01,-1,0.956112852664577,-0.00199684454543407,-0.0360932347093402,-0.955745326954909,"EB"
"26",26,30000,0.3,0.01,-1,0.9328,-0.00161090414658973,-0.0314238145661752,-0.942429265153254,"EB"
"27",27,30000,0.3,0.01,-1,0.949511400651466,-0.00179796416817785,-0.0339275111508705,-0.951883168807956,"EB"
"28",28,30000,0.3,0.01,-1,0.943089430894309,-0.00179113847012645,-0.0345991076953468,-0.960481386545458,"EB"
"29",29,30000,0.3,0.01,-1,0.924114671163575,-0.00190657534720441,-0.0351521432475549,-0.954413386083386,"EB"
"30",30,30000,0.3,0.01,-1,0.956953642384106,-0.00185437579277854,-0.0337497078683649,-0.942894013683934,"EB"
"31",31,30000,0.3,0.01,-1,0.960950764006791,-0.00186033071687769,-0.035153917935214,-0.95931142656168,"EB"
"32",32,30000,0.3,0.01,-1,0.940458015267176,-0.00195701789234365,-0.0350003927462321,-0.947082656816799,"EB"
"33",33,30000,0.3,0.01,-1,0.947826086956522,-0.00181570449818395,-0.0338065390968983,-0.948283118100002,"EB"
"34",34,30000,0.3,0.01,-1,0.944732297063903,-0.00177844125229396,-0.0336495094844784,-0.950720646338481,"EB"
"35",35,30000,0.3,0.01,-1,0.937996820349762,-0.00191667539363946,-0.0354245543990401,-0.956461581389198,"EB"
"36",36,30000,0.3,0.01,-1,0.954113924050633,-0.00179953657055189,-0.0339952470913632,-0.952531571492249,"EB"
"37",37,30000,0.3,0.01,-1,0.939698492462312,-0.00186591172073985,-0.0340699809460848,-0.945721350688916,"EB"
"38",38,30000,0.3,0.01,-1,0.936073059360731,-0.00193910168767906,-0.0355629318156628,-0.955693080149209,"EB"
"39",39,30000,0.3,0.01,-1,0.92741935483871,-0.00184703552354457,-0.0346884060779512,-0.955460699369214,"EB"
"40",40,30000,0.3,0.01,-1,0.953343701399689,-0.00180741123164223,-0.0332643719500257,-0.942144446399674,"EB"
"41",41,30000,0.3,0.01,-1,0.927382753403933,-0.00176294039347929,-0.032104921074412,-0.931304624678543,"EB"
"42",42,30000,0.3,0.01,-1,0.921926910299003,-0.00171476512426862,-0.032695576997609,-0.946187552847627,"EB"
"43",43,30000,0.3,0.01,-1,0.94281045751634,-0.00167049323967173,-0.0326557739365637,-0.951281603029048,"EB"
"44",44,30000,0.3,0.01,-1,0.953301127214171,-0.00188185804452382,-0.0349520757931115,-0.954745715960427,"EB"
