"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,1,-0.00148908382744811,-0.688200827961666,0,0.00164919620684076,0.0076399609098758,"EB"
"11",3e+05,0.3,0.01,-1,0.634826851907385,-6.45753253889906e-06,-0.303853108475704,0.0203843360191735,1.24766354236929e-06,0.0380011148392719,"EB"
"21",30000,0.8,0.01,-1,0.901594290726677,-0.000433805464921522,-0.657762410579176,0.0740073587426977,0.000162325110456205,0.171348150161516,"EB"
"31",3e+05,0.8,0.01,-1,0.562819340288898,-1.34844698015658e-06,-0.0821880851413099,0.00956771654297283,2.9995541775634e-07,0.0172135796174018,"EB"
"41",30000,0.3,0.001,-1,0.634990105860381,-3.45660601163998e-05,-0.134312104437061,0.0617470626567664,4.79125888612585e-05,0.254207755187693,"EB"
"51",3e+05,0.3,0.001,-1,0.488534813539143,5.4110853357413e-07,0.0362407626819818,0.0219282334529409,5.97153374181245e-07,0.0405631999171017,"EB"
"61",30000,0.8,0.001,-1,0.489594223711782,5.32009651775232e-06,0.0393108499371864,0.0397437917512604,1.67980361624461e-05,0.110808902106916,"EB"
"71",3e+05,0.8,0.001,-1,0.468679208536685,1.27673952062588e-06,0.0787489466331804,0.0288548867478225,1.00907476260995e-06,0.0616628071271913,"EB"
"81",30000,0.3,0.01,0,1,-0.000308315649989407,-0.687548752054513,0,0.000186592615334919,0.28884787715809,"EB"
"91",3e+05,0.3,0.01,0,0.627532192461636,-3.48662141099557e-06,-0.287712924606038,0.0123927077761321,4.58005436498564e-07,0.0277252626235469,"EB"
"101",30000,0.8,0.01,0,0.859323208026356,-0.000161573969013496,-0.638265268501793,0.0361486914931702,3.20779576530037e-05,0.0519211726095501,"EB"
"111",3e+05,0.8,0.01,0,0.553544133067246,-1.02991614084768e-06,-0.0966390114751268,0.0119225491060991,1.48765180009432e-07,0.0133954462964287,"EB"
"121",30000,0.3,0.001,0,0.604214494912837,-2.32213078270909e-05,-0.184386776975876,0.0321351067492004,1.09820140847681e-05,0.0624275733483372,"EB"
